date,new_opr_level,change_in_opr,year
2016-01-21,3.25,,2016
2016-03-09,3.25,,2016
2016-05-19,3.25,,2016
2016-07-13,3.0,-0.25,2016
2016-09-07,3.0,,2016
2016-11-23,3.0,,2016
2017-01-19,3.0,,2017
2017-03-02,3.0,,2017
2017-05-12,3.0,,2017
2017-07-13,3.0,,2017
2017-09-07,3.0,,2017
2017-11-09,3.0,,2017
2018-01-25,3.25,0.25,2018
2018-03-07,3.25,,2018
2018-05-10,3.25,,2018
2018-07-11,3.25,,2018
2018-09-05,3.25,,2018
2018-11-08,3.25,,2018
2019-01-24,3.25,,2019
2019-03-05,3.25,,2019
2019-05-07,3.0,-0.25,2019
2019-07-09,3.0,,2019
2019-09-12,3.0,,2019
2019-11-05,3.0,,2019
2020-01-22,2.75,-0.25,2020
2020-03-03,2.5,-0.25,2020
2020-05-05,2.0,-0.5,2020
2020-07-07,1.75,-0.25,2020
2020-09-10,1.75,,2020
2020-11-03,1.75,,2020
2021-01-20,1.75,,2021
2021-03-04,1.75,,2021
2021-05-06,1.75,,2021
2021-07-08,1.75,,2021
2021-09-09,1.75,,2021
2021-11-03,1.75,,2021
2022-01-20,1.75,,2022
2022-03-03,1.75,,2022
2022-05-11,2.0,0.25,2022
2022-07-06,2.25,0.25,2022
2022-09-08,2.5,0.25,2022
2022-11-03,2.75,0.25,2022
2023-01-19,2.75,,2023
2023-03-09,2.75,,2023
2023-05-03,3.0,0.25,2023
2023-07-06,3.0,,2023
2023-09-07,3.0,,2023
2023-11-02,3.0,,2023
2024-01-24,3.0,,2024
2024-03-07,3.0,,2024
2024-05-09,3.0,,2024
2024-07-11,3.0,,2024
2024-09-05,3.0,,2024
2024-11-06,3.0,,2024
2025-01-22,3.0,,2025
2025-03-06,3.0,,2025
2025-05-08,3.0,,2025
2025-07-09,2.75,-0.25,2025
